#group,false,false,false,false,false,false,true,false,false
#datatype,string,long,string,string,string,string,string,string,string
#default,_result,,,,,,,,
,result,table,direction_entry,direction_exit,entered_time,exit_time,vehicle_id,vehicle_type_entry,vehicle_type_exit
,,143,East,,2025-05-17T06:22:14.854000000Z,,124,car,
,,144,North,,2025-05-17T04:47:47.661000000Z,,1242,car,
,,145,North,South,2025-05-17T07:28:30.289000000Z,2025-05-17T07:28:33.103000000Z,1245,car,car
,,146,South,South,2025-05-17T04:48:02.500000000Z,2025-05-17T04:48:02.985000000Z,1248,car,car
,,146,East,,2025-05-17T09:43:29.991000000Z,,1248,car,
,,147,South,North,2025-05-17T04:48:05.409000000Z,2025-05-17T04:48:09.094000000Z,1249,car,car
,,147,North,South,2025-05-17T07:28:36.292000000Z,2025-05-17T07:28:39.910000000Z,1249,car,car
,,147,East,,2025-05-17T09:43:19.128000000Z,,1249,truck,
,,148,,West,,2025-05-17T02:33:27.347000000Z,125,,car
,,148,East,,2025-05-17T05:30:05.203000000Z,,125,car,
,,149,East,South,2025-05-17T09:43:23.552000000Z,2025-05-17T09:43:25.183000000Z,1250,car,car
,,150,North,East,2025-05-17T07:28:41.524000000Z,2025-05-17T07:28:42.045000000Z,1251,car,car
,,151,North,South,2025-05-17T04:48:21.165000000Z,2025-05-17T04:48:25.311000000Z,1252,car,car
,,152,North,South,2025-05-17T04:48:26.926000000Z,2025-05-17T04:48:31.723000000Z,1253,truck,car
,,153,South,,2025-05-17T09:43:43.553000000Z,,1254,car,
,,154,South,,2025-05-17T09:43:39.423000000Z,,1255,car,
,,155,,South,,2025-05-17T07:29:03.251000000Z,1256,,truck
,,156,,South,,2025-05-17T04:48:54.873000000Z,1257,,bus
,,157,South,South,2025-05-17T09:43:50.215000000Z,2025-05-17T09:43:51.248000000Z,1258,car,car
,,158,East,,2025-05-17T07:29:24.264000000Z,,1259,car,
,,158,East,,2025-05-17T09:43:59.201000000Z,,1259,car,
,,159,,West,,2025-05-17T02:33:32.680000000Z,126,,car
,,159,South,,2025-05-17T02:17:19.332000000Z,,126,motorcycle,
,,160,North,East,2025-05-17T04:49:49.251000000Z,2025-05-17T04:49:52.102000000Z,1260,car,car
,,161,,North,,2025-05-17T04:50:07.433000000Z,1262,,car
,,161,South,,2025-05-17T04:49:57.880000000Z,,1262,car,
,,162,,South,,2025-05-17T04:50:00.810000000Z,1263,,car
,,162,North,,2025-05-17T04:49:57.304000000Z,,1263,car,
,,163,South,East,2025-05-17T04:50:02.583000000Z,2025-05-17T04:50:10.408000000Z,1264,car,bus
,,164,South,,2025-05-17T09:44:08.827000000Z,,1265,car,
,,165,,North,,2025-05-17T04:50:02.009000000Z,1266,,car
,,166,North,,2025-05-17T04:50:05.519000000Z,,1267,car,
,,166,East,South,2025-05-17T09:44:17.460000000Z,2025-05-17T09:44:19.608000000Z,1267,car,car
,,167,,West,,2025-05-17T02:33:37.931000000Z,127,,car
,,167,,East,,2025-05-17T03:15:21.393000000Z,127,,truck
,,168,South,North,2025-05-17T09:44:27.533000000Z,2025-05-17T09:44:32.080000000Z,1277,car,car
,,169,East,,2025-05-17T04:50:16.922000000Z,,1278,car,
,,170,South,North,2025-05-17T09:44:30.765000000Z,2025-05-17T09:44:35.114000000Z,1279,car,car
,,171,South,East,2025-05-17T02:17:14.793000000Z,2025-05-17T02:17:17.039000000Z,128,car,car
,,171,East,South,2025-05-17T02:50:00.839000000Z,2025-05-17T05:30:11.973000000Z,128,car,
,,171,North,,2025-05-17T05:30:08.277000000Z,,128,car,car
,,172,,South,,2025-05-17T07:29:43.804000000Z,1280,,car
,,173,East,,2025-05-17T07:29:45.426000000Z,,1281,truck,
,,174,East,,2025-05-17T04:50:21.077000000Z,,1283,car,
,,174,North,East,2025-05-17T07:29:45.426000000Z,2025-05-17T07:29:46.645000000Z,1283,car,car
,,174,South,,2025-05-17T09:44:56.045000000Z,,1283,car,
,,175,East,South,2025-05-17T04:50:23.887000000Z,2025-05-17T04:50:32.775000000Z,1284,car,car
,,176,East,South,2025-05-17T04:50:28.730000000Z,2025-05-17T04:50:31.672000000Z,1286,car,car
,,177,,East,,2025-05-17T04:50:31.672000000Z,1289,,car
,,177,South,,2025-05-17T09:45:10.091000000Z,,1289,car,
,,178,North,South,2025-05-17T06:22:39.743000000Z,2025-05-17T06:22:43.371000000Z,129,car,car
,,179,South,,2025-05-17T04:50:41.003000000Z,,1290,car,
,,180,South,,2025-05-17T07:30:36.937000000Z,,1292,car,
,,180,East,,2025-05-17T09:45:21.555000000Z,,1292,car,
,,181,East,,2025-05-17T04:50:53.269000000Z,,1293,car,
,,181,South,North,2025-05-17T07:30:44.379000000Z,2025-05-17T07:30:48.630000000Z,1293,car,car
,,182,South,East,2025-05-17T04:51:01.225000000Z,2025-05-17T04:51:03.338000000Z,1297,car,car
,,183,,East,,2025-05-17T04:51:00.193000000Z,1299,,car
,,183,North,,2025-05-17T04:50:58.076000000Z,,1299,car,
,,184,,South,,2025-05-17T02:10:43.221000000Z,13,,car
,,184,,West,,2025-05-17T02:27:06.851000000Z,13,,car
,,185,,West,,2025-05-17T02:33:43.481000000Z,130,,car
,,185,East,South,2025-05-17T04:06:54.140000000Z,2025-05-17T04:06:56.232000000Z,130,car,car
,,185,East,,2025-05-17T05:30:32.698000000Z,,130,car,
,,186,East,,2025-05-17T09:45:24.262000000Z,,1301,car,
,,187,East,North,2025-05-17T07:31:19.273000000Z,2025-05-17T07:31:23.668000000Z,1302,car,car
,,188,East,South,2025-05-17T04:51:12.011000000Z,2025-05-17T04:51:14.211000000Z,1303,car,car
,,188,South,South,2025-05-17T09:45:41.281000000Z,2025-05-17T09:45:40.752000000Z,1303,car,car
,,189,North,East,2025-05-17T07:31:08.742000000Z,2025-05-17T07:31:09.831000000Z,1304,car,truck
,,189,South,,2025-05-17T09:45:35.104000000Z,,1304,car,
,,190,,South,,2025-05-17T07:31:09.284000000Z,1306,,bus
,,191,South,,2025-05-17T04:51:27.454000000Z,,1309,car,
,,192,South,,2025-05-17T02:33:41.661000000Z,,131,bus,
,,192,East,,2025-05-17T06:22:51.992000000Z,,131,car,
,,193,,South,,2025-05-17T07:31:19.273000000Z,1312,,bus
,,193,,North,,2025-05-17T09:45:39.119000000Z,1312,,car
,,193,South,,2025-05-17T04:51:52.273000000Z,,1312,car,
,,194,East,,2025-05-17T09:45:42.375000000Z,,1314,car,
,,195,,East,,2025-05-17T09:45:46.805000000Z,1315,,car
,,195,East,South,2025-05-17T07:31:23.668000000Z,2025-05-17T07:31:25.731000000Z,1315,car,car
,,196,South,North,2025-05-17T07:31:34.097000000Z,2025-05-17T07:31:40.394000000Z,1316,car,car
,,197,North,East,2025-05-17T07:31:29.263000000Z,2025-05-17T07:31:30.372000000Z,1317,car,car
,,197,South,,2025-05-17T09:46:10.776000000Z,,1317,car,
,,198,,North,,2025-05-17T07:31:34.700000000Z,1318,,car
,,199,South,East,2025-05-17T09:46:14.757000000Z,2025-05-17T09:46:16.327000000Z,1319,car,car
,,200,East,,2025-05-17T03:53:49.469000000Z,,132,car,
,,200,East,North,2025-05-17T05:30:44.761000000Z,2025-05-17T05:30:47.809000000Z,132,car,car
,,201,,North,,2025-05-17T09:46:13.671000000Z,1321,,car
,,202,East,South,2025-05-17T07:32:00.399000000Z,2025-05-17T07:32:02.377000000Z,1322,car,car
,,203,East,,2025-05-17T09:46:28.662000000Z,,1324,car,
,,204,East,North,2025-05-17T04:52:27.597000000Z,2025-05-17T04:52:31.457000000Z,1326,car,car
,,205,North,South,2025-05-17T07:32:05.343000000Z,2025-05-17T07:32:09.461000000Z,1327,car,car
,,206,East,,2025-05-17T04:52:33.164000000Z,,1329,motorcycle,
,,207,,East,,2025-05-17T03:45:27.170000000Z,133,,car
,,207,East,South,2025-05-17T05:30:50.501000000Z,2025-05-17T05:30:53.997000000Z,133,car,car
,,208,South,East,2025-05-17T07:32:20.067000000Z,2025-05-17T07:32:23.125000000Z,1330,car,car
,,209,North,East,2025-05-17T04:52:28.136000000Z,2025-05-17T04:52:29.210000000Z,1332,car,car
,,210,South,,2025-05-17T09:46:39.167000000Z,,1335,car,
,,211,North,North,2025-05-17T09:46:41.956000000Z,2025-05-17T09:46:42.570000000Z,1337,car,car
,,212,East,,2025-05-17T07:32:36.210000000Z,,1338,car,
,,213,South,South,2025-05-17T07:32:46.683000000Z,2025-05-17T07:32:47.657000000Z,1340,car,bus
,,213,South,,2025-05-17T09:46:47.806000000Z,,1340,car,
,,214,,North,,2025-05-17T04:52:38.688000000Z,1341,,car
,,215,,East,,2025-05-17T04:52:42.938000000Z,1342,,car
,,216,North,,2025-05-17T07:32:58.084000000Z,,1344,car,
,,217,East,South,2025-05-17T07:33:34.133000000Z,2025-05-17T07:33:38.043000000Z,1345,car,car
,,217,East,,2025-05-17T09:47:35.143000000Z,,1345,car,
,,218,East,,2025-05-17T04:52:52.278000000Z,,1346,car,
,,218,South,North,2025-05-17T07:33:43.298000000Z,2025-05-17T07:33:48.176000000Z,1346,car,car
,,219,East,,2025-05-17T09:47:27.794000000Z,,1347,car,
