Time (s),Vehicle ID,CO2 (g),CO (g),HC (g),NOx (g),PMx (g),Fuel (L),Speed (m/s)
66.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.01
67.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.15
68.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.03
69.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.14
70.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.10
71.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.03
72.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.56
73.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.47
74.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.08
75.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.02
76.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.28
77.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.35
78.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.19
79.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.47
80.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.42
81.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.48
82.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.55
83.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.47
84.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.18
85.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.29
86.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.27
87.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.09
88.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.56
89.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.29
90.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.61
91.00,t_2,0.00,0.00,0.00,0.00,0.00,0.00,5.57
